subject,z,event,event_probability
0,-1.0856306033005612,0,0.169999528788578
1,0.9973454465835858,1,0.6218352988039754
2,0.28297849805199204,1,0.44595657114433246
3,-1.506294713918092,0,0.11854360001637775
4,-0.5786002519685364,1,0.2537709973651675
5,1.651436537097151,1,0.7597732084900791
6,-2.426679243393074,0,0.05085036108311308
7,-0.42891262885617726,0,0.2831453706006003
8,1.265936258705534,0,0.6826411700170776
9,-0.8667404022651017,0,0.2031469940017606
10,-0.6788861516220543,0,0.23525252823845524
11,-0.09470896893689112,0,0.3555551290903605
12,1.4913896261242878,0,0.7293623121327824
13,-0.638901996684651,0,0.24252201276029597
14,-0.44398195964606546,1,0.2800967074806611
15,-0.43435127561851733,1,0.28204276945443263
16,2.2059300827254558,1,0.8463076517903885
17,2.1867860889737867,1,0.8438010315670618
18,1.004053897878877,0,0.6234115382368257
19,0.386186399174856,1,0.47157727440455083
20,0.7373685758962422,1,0.5590650746250283
21,1.490732028150799,1,0.7292324873656261
22,-0.9358338684023914,0,0.19219132709154305
23,1.1758290447821034,1,0.6628071485673295
24,-1.2538806677490124,0,0.1475584006340197
25,-0.6377515024534103,0,0.24273342700536368
26,0.9071051958003012,0,0.6003935564111916
27,-1.428680700225969,1,0.12689667856861694
28,-0.1400687201886661,1,0.3452310052663381
29,-0.8617548958596855,0,0.20395523375805827
30,-0.2556193705305969,1,0.31959810293976343
31,-2.7985891054607244,0,0.03561962297970357
32,-1.771533104509847,0,0.09350817854441085
33,-0.6998772345979173,0,0.23149705650345692
34,0.9274624317585825,1,0.6052675580533926
35,-0.1736356827902158,0,0.33768322922489347
36,0.0028459158968110196,0,0.37820970231112655
37,0.688222711102285,1,0.5469172449731813
38,-0.8795363430090519,0,0.20108347541808688
39,0.283627323807291,0,0.44611688817868855
40,-0.8053665180656158,0,0.21326322621073374
41,-1.7276694941206072,0,0.09729313073153041
42,-0.390899793755101,0,0.2909241764964805
43,0.5738058624050577,0,0.5184430942641219
44,0.3385890509998015,0,0.4597346459113614
45,-0.01183049447881976,0,0.3747645130257417
46,2.392365265937726,1,0.8690249815247354
47,0.4129121603087788,1,0.4782417900570356
48,0.9787360059373466,0,0.6174493565881544
49,2.2381433384979528,1,0.8504510813745565
50,-1.2940853231612488,1,0.1425725809194462
51,-1.0387882102049535,0,0.1767115024088062
52,1.7437122251229307,0,0.7762095197178756
53,-0.7980627352410625,1,0.2144912359818978
54,0.02968323030333022,0,0.38454127121076404
55,1.0693159694243486,1,0.6386053236864832
56,0.8907063912931708,0,0.5964527370478825
57,1.7548861819811095,1,0.778144536502853
58,1.4956441370334692,1,0.7302013025330066
59,1.0693926697057368,1,0.638623025046109
60,-0.7727087142471915,0,0.2187939175037707
61,0.7948626677932181,1,0.5731861755468741
62,0.31427199450686705,0,0.45370101205664876
63,-1.326265459940456,1,0.13868376449956876
64,1.4172990464768525,1,0.7144914483062119
65,0.8072365345785665,1,0.5762105876513569
66,0.045490080631097156,1,0.3882890288978824
67,-0.2330920609844135,0,0.324516563012297
68,-1.198301144700787,0,0.15468727561866508
69,0.19952407355863258,1,0.42544114313802184
70,0.46843911944564426,1,0.49211043474308896
71,-0.8311549842432792,0,0.20896838145265234
72,1.1622040490995293,0,0.6597553235771464
73,-1.0972030464830342,0,0.16837289079486414
74,-2.1231003500424417,1,0.06766643728689062
75,1.0397270908927005,0,0.6317489298387935
76,-0.4033660381021075,1,0.28835926698099834
77,-0.12602958531301514,0,0.3484113615000993
78,-0.8375167228250533,0,0.20791872920377116
79,-1.6059627607174027,0,0.10851862184398622
80,1.2552373747242185,0,0.6803188243789878
81,-0.6888689838469215,1,0.23346127813367082
82,1.6609524881479396,1,0.761505743821088
83,0.8073081862107286,1,0.5762280843073224
84,-0.31475814671745994,0,0.30687749135838766
85,-1.0859024011268665,0,0.16996118163953805
86,-0.732461986720457,0,0.225750810983715
87,-1.2125231310951696,0,0.15283674038998313
88,2.0871133595881854,0,0.8302095853024832
89,0.16444123022982496,0,0.4168887067463753
90,1.1502055425466322,1,0.6570567797217156
91,-1.2673520490102275,0,0.14587193665780102
92,0.18103512959700388,0,0.4209280375594633
93,1.1778619388085783,1,0.6632613373649812
94,-0.3350107619330159,0,0.302586614530574
95,1.0311144589217422,1,0.629743004287125
96,-1.0845679120057665,1,0.1701495267882533
97,-1.3634715446185843,0,0.13429892806265
98,0.37940061207813613,0,0.46988664209807207
99,-0.3791764345725522,0,0.2933484709616732
